X,Y
0,224
0.26,228.021
0.52,237.409
0.78,251.155
1.04,267.567
1.3,281.89
1.56,288.062
1.82,284.165
2.08,271.588
2.34,254.443
2.6,237.082
2.86,224.251
3.12,216.045
3.38,211.866
3.6401,209.57
3.9001,208.282
4.1601,208
4.4201,208.725
4.6801,210.457
4.9401,213.928
5.2001,218.677
5.4601,225.172
5.7201,232.196
5.9801,236.983
6.2401,237.251
6.5001,233.237
6.7601,228.22
7.0201,223.203
7.2801,221.237
7.5401,222.533
7.8001,226.849
8.0601,233.412
8.3201,241.99
8.5801,252.581
8.8401,266.753
9.1001,286.526
9.3601,313.921
9.6201,353.34
9.8801,405.849
10.1401,470.646
10.4001,542.701
10.6601,616.759
10.9202,686.148
11.1802,747.052
11.4402,798.076
11.7002,839.852
11.9602,874.216
12.2202,902.361
12.4802,922.801
12.7402,935.186
13.0002,938.677
13.2602,934.79
13.5202,927.237
13.7802,916.663
14.0402,903.921
14.3002,889.165
14.5602,874.113
14.8202,859.062
15.0802,841.412
15.3402,821.612
15.6002,797.179
15.8602,769.464
16.1202,736.969
16.3802,701.206
16.6402,661.536
16.9002,620.509
17.1602,581.155
17.4202,550.093
17.6802,532.594
17.9403,531
18.2003,544.608
18.4603,569.677
18.7203,600.337
18.9803,631.443
19.2403,659.787
19.5003,683.261
19.7603,700.773
20.0203,713.175
20.2803,719.608
20.5403,720.938
20.8003,716.292
21.0603,706.55
21.3203,692.722
21.5803,675.818
21.8403,654.938
22.1003,629.072
22.3603,594.323
22.6203,550.512
22.8803,499.577
23.1403,446.457
23.4003,396.203
23.6603,353.866
23.9203,320.567
24.1803,296.33
24.4403,279.175
24.7003,267.082
24.9604,260.024
