X,Y
0,219
0.26,216.99
0.52,192.426
0.78,216.203
1.04,254.773
1.3,404.505
1.56,550.787
1.82,413.938
2.08,265.196
2.34,228.419
2.6,228.804
2.86,209.57
3.12,208.079
3.38,228.784
3.6401,232.426
3.9001,203.708
4.1601,174.237
4.4201,197.454
4.6801,201.715
4.9401,181.433
5.2001,206.622
5.4601,221.694
5.7201,254.175
5.9801,384.313
6.2401,377.055
6.5001,249.619
6.7601,225.096
7.0201,222.924
7.2801,240.072
7.5401,221.478
7.8001,220.158
8.0601,226.639
8.3201,235.766
8.5801,229.419
8.8401,229.351
9.1001,265.412
9.3601,295.55
9.6201,296.237
9.8801,340.443
10.1401,428.065
10.4001,564.402
10.6601,701.213
10.9202,765.928
11.1802,783.959
11.4402,905.409
11.7002,941.856
11.9602,860.701
12.2202,927.474
12.4802,986.581
12.7402,926.526
13.0002,914.677
13.2602,856.907
13.5202,906.021
13.7802,967.928
14.0402,862.801
14.3002,902.897
14.5602,880.354
14.8202,888.801
15.0802,890.134
15.3402,817.839
15.6002,804.381
15.8602,803.124
16.1202,769.57
16.3802,642.241
16.6402,629.546
16.9002,613.089
17.1602,597.598
17.4202,482.99
17.6802,506.014
17.9403,475.656
18.2003,530.062
18.4603,617.959
18.7203,551.045
18.9803,655.938
19.2403,688.103
19.5003,718.656
19.7603,734.918
20.0203,739.725
20.2803,758.694
20.5403,740.299
20.8003,708.869
21.0603,701.33
21.3203,671.598
21.5803,667.144
21.8403,669.866
22.1003,672.876
22.3603,607.57
22.6203,648.454
22.8803,527.897
23.1403,463.704
23.4003,360.502
23.6603,330.577
23.9203,319.189
24.1803,307.165
24.4403,243.66
24.7003,264.849
24.9604,243.076
